ID,City,Gender,Product Line,Tax 5%,Total,Date,Payment,COGS,Gross Margin Percentage,Gross Income,Rating
240,Seattle,Male,Fashion accessories,4.4845,94.1745,1/11/2019,Mobile payments,89.69,4.761904762,4.4845,4.9
241,Seattle,Male,Food and beverages,11.223,235.683,1/11/2019,Credit card,224.46,4.761904762,11.223,5.6
242,Seattle,Male,Health and beauty,5.977,125.517,3/11/2019,Credit card,119.54,4.761904762,5.977,5.8
243,Phoenix,Male,Fashion accessories,9.32,195.72,2/28/2019,Credit card,186.4,4.761904762,9.32,6
244,Seattle,Male,Home and lifestyle,12.53,263.13,1/5/2019,Gift cards,250.6,4.761904762,12.53,4.2
245,St. Louis,Male,Home and lifestyle,37.548,788.508,2/2/2019,Credit card,750.96,4.761904762,37.548,8.3
246,Seattle,Male,Home and lifestyle,19.036,399.756,1/1/2019,Gift cards,380.72,4.761904762,19.036,5.7
247,St. Louis,Female,Electronic accessories,12.21,256.41,2/9/2019,Gift cards,244.2,4.761904762,12.21,4.8
248,Seattle,Male,Fashion accessories,4.485,94.185,1/23/2019,Mobile payments,89.7,4.761904762,4.485,6.8
249,Seattle,Male,Electronic accessories,15.544,326.424,1/7/2019,Credit card,310.88,4.761904762,15.544,8.8
250,St. Louis,Male,Food and beverages,25.571,536.991,1/14/2019,Credit card,511.42,4.761904762,25.571,4.2
251,St. Louis,Male,Food and beverages,20.9475,439.8975,2/2/2019,Mobile payments,418.95,4.761904762,20.9475,6.4
252,Phoenix,Male,Fashion accessories,17.595,369.495,3/17/2019,Credit card,351.9,4.761904762,17.595,8.4
253,Phoenix,Female,Sports and travel,1.439,30.219,3/2/2019,Credit card,28.78,4.761904762,1.439,7.2
254,Seattle,Male,Home and lifestyle,4.75,99.75,3/16/2019,Gift cards,95,4.761904762,4.75,5.2
255,Seattle,Male,Home and lifestyle,23.56,494.76,1/6/2019,Gift cards,471.2,4.761904762,23.56,8.9
256,St. Louis,Male,Fashion accessories,6.524,137.004,1/29/2019,Gift cards,130.48,4.761904762,6.524,9
257,Seattle,Male,Electronic accessories,3.3175,69.6675,1/31/2019,Credit card,66.35,4.761904762,3.3175,9.7
258,Seattle,Male,Home and lifestyle,7.773,163.233,2/5/2019,Mobile payments,155.46,4.761904762,7.773,8.7
259,Seattle,Male,Electronic accessories,6.45,135.45,2/13/2019,Mobile payments,129,4.761904762,6.45,6.5
260,Phoenix,Male,Electronic accessories,13.188,276.948,2/7/2019,Credit card,263.76,4.761904762,13.188,6.9
261,Seattle,Female,Electronic accessories,33.777,709.317,3/19/2019,Mobile payments,675.54,4.761904762,33.777,6.2
262,Phoenix,Female,Fashion accessories,3.29,69.09,3/7/2019,Mobile payments,65.8,4.761904762,3.29,5.6
263,St. Louis,Female,Fashion accessories,7.66,160.86,3/13/2019,Gift cards,153.2,4.761904762,7.66,5.7
264,Seattle,Female,Sports and travel,11.12,233.52,2/9/2019,Gift cards,222.4,4.761904762,11.12,4.2
265,St. Louis,Male,Sports and travel,2.7225,57.1725,2/26/2019,Mobile payments,54.45,4.761904762,2.7225,7.9
266,Seattle,Female,Sports and travel,34.44,723.24,3/12/2019,Credit card,688.8,4.761904762,34.44,8.7
267,Phoenix,Male,Home and lifestyle,7.094,148.974,3/14/2019,Credit card,141.88,4.761904762,7.094,6.9
268,St. Louis,Female,Food and beverages,37.3,783.3,1/8/2019,Gift cards,746,4.761904762,37.3,9.5
269,Seattle,Male,Home and lifestyle,14.148,297.108,1/5/2019,Credit card,282.96,4.761904762,14.148,4.4
270,Seattle,Female,Home and lifestyle,17.77,373.17,1/4/2019,Mobile payments,355.4,4.761904762,17.77,7
271,St. Louis,Female,Sports and travel,16.8575,354.0075,3/6/2019,Mobile payments,337.15,4.761904762,16.8575,6.3
272,Phoenix,Female,Health and beauty,2.112,44.352,1/3/2019,Gift cards,42.24,4.761904762,2.112,9.7
273,Seattle,Female,Home and lifestyle,9.693,203.553,1/7/2019,Credit card,193.86,4.761904762,9.693,8.8
274,Seattle,Female,Home and lifestyle,1.203,25.263,1/27/2019,Gift cards,24.06,4.761904762,1.203,5.1
275,St. Louis,Female,Health and beauty,29.913,628.173,2/26/2019,Mobile payments,598.26,4.761904762,29.913,7.9
276,St. Louis,Male,Fashion accessories,16.7895,352.5795,1/7/2019,Gift cards,335.79,4.761904762,16.7895,6.2
277,Phoenix,Female,Home and lifestyle,10.91,229.11,1/7/2019,Gift cards,218.2,4.761904762,10.91,7.1
278,Phoenix,Female,Fashion accessories,19.084,400.764,2/2/2019,Mobile payments,381.68,4.761904762,19.084,6.4
279,Phoenix,Male,Fashion accessories,35.495,745.395,3/20/2019,Gift cards,709.9,4.761904762,35.495,5.7
280,Seattle,Male,Sports and travel,22.01,462.21,3/20/2019,Credit card,440.2,4.761904762,22.01,9.6
281,Seattle,Female,Home and lifestyle,27.984,587.664,2/15/2019,Credit card,559.68,4.761904762,27.984,6.4
282,Phoenix,Male,Home and lifestyle,1.85,38.85,3/6/2019,Credit card,37,4.761904762,1.85,7.9
283,Seattle,Female,Sports and travel,0.767,16.107,1/6/2019,Gift cards,15.34,4.761904762,0.767,6.5
284,Seattle,Male,Health and beauty,29.949,628.929,3/4/2019,Mobile payments,598.98,4.761904762,29.949,8.5
285,Seattle,Female,Health and beauty,9.534,200.214,3/12/2019,Gift cards,190.68,4.761904762,9.534,9.1
286,St. Louis,Male,Health and beauty,16.67,350.07,2/20/2019,Gift cards,333.4,4.761904762,16.67,7.6
287,Phoenix,Male,Home and lifestyle,3.743,78.603,3/24/2019,Gift cards,74.86,4.761904762,3.743,6.9
288,Phoenix,Female,Sports and travel,10.6875,224.4375,1/31/2019,Gift cards,213.75,4.761904762,10.6875,9.5
289,St. Louis,Female,Food and beverages,16.9785,356.5485,1/25/2019,Credit card,339.57,4.761904762,16.9785,5.2
290,Seattle,Female,Home and lifestyle,33.208,697.368,2/3/2019,Gift cards,664.16,4.761904762,33.208,4.2
291,St. Louis,Male,Electronic accessories,20.15,423.15,1/24/2019,Credit card,403,4.761904762,20.15,7
292,Phoenix,Male,Electronic accessories,9.7475,204.6975,3/14/2019,Mobile payments,194.95,4.761904762,9.7475,6
293,Seattle,Female,Electronic accessories,3.124,65.604,2/18/2019,Gift cards,62.48,4.761904762,3.124,4.7
294,Seattle,Female,Food and beverages,3.636,76.356,1/21/2019,Gift cards,72.72,4.761904762,3.636,7.1
295,St. Louis,Male,Health and beauty,9.055,190.155,3/13/2019,Mobile payments,181.1,4.761904762,9.055,5.9
296,Phoenix,Female,Electronic accessories,12.98,272.58,3/3/2019,Gift cards,259.6,4.761904762,12.98,7.5
297,Phoenix,Male,Electronic accessories,5.768,121.128,3/29/2019,Gift cards,115.36,4.761904762,5.768,6.4
298,Seattle,Male,Home and lifestyle,23.514,493.794,1/10/2019,Mobile payments,470.28,4.761904762,23.514,5.8
299,Seattle,Male,Home and lifestyle,12.002,252.042,1/25/2019,Gift cards,240.04,4.761904762,12.002,4.5
300,Phoenix,Female,Home and lifestyle,4.4305,93.0405,1/19/2019,Gift cards,88.61,4.761904762,4.4305,7.7
301,Phoenix,Male,Fashion accessories,9.982,209.622,1/2/2019,Credit card,199.64,4.761904762,9.982,6.7
302,St. Louis,Male,Health and beauty,1.9505,40.9605,3/12/2019,Credit card,39.01,4.761904762,1.9505,4.7
303,Phoenix,Male,Food and beverages,2.4305,51.0405,2/25/2019,Gift cards,48.61,4.761904762,2.4305,4.4
304,Seattle,Female,Electronic accessories,10.238,214.998,3/18/2019,Credit card,204.76,4.761904762,10.238,4.7
305,St. Louis,Female,Electronic accessories,5.984,125.664,2/23/2019,Gift cards,119.68,4.761904762,5.984,8.6
306,Seattle,Male,Electronic accessories,25.27,530.67,3/26/2019,Mobile payments,505.4,4.761904762,25.27,4.3
307,Seattle,Female,Sports and travel,14.0805,295.6905,3/30/2019,Gift cards,281.61,4.761904762,14.0805,9.6
308,Seattle,Female,Home and lifestyle,35.516,745.836,2/17/2019,Gift cards,710.32,4.761904762,35.516,4.1
309,Seattle,Female,Electronic accessories,3.972,83.412,3/21/2019,Mobile payments,79.44,4.761904762,3.972,4.7
310,Seattle,Female,Fashion accessories,8.191,172.011,3/5/2019,Gift cards,163.82,4.761904762,8.191,7.8
311,St. Louis,Male,Sports and travel,23.979,503.559,1/31/2019,Gift cards,479.58,4.761904762,23.979,5.5
312,Phoenix,Male,Fashion accessories,6.933,145.593,2/5/2019,Mobile payments,138.66,4.761904762,6.933,9.7
313,Seattle,Female,Food and beverages,3.5575,74.7075,2/1/2019,Credit card,71.15,4.761904762,3.5575,4.4
314,Seattle,Female,Health and beauty,6.9975,146.9475,3/7/2019,Gift cards,139.95,4.761904762,6.9975,5
315,Phoenix,Female,Electronic accessories,39.065,820.365,2/10/2019,Gift cards,781.3,4.761904762,39.065,4.4
316,Phoenix,Male,Food and beverages,9.937,208.677,2/14/2019,Gift cards,198.74,4.761904762,9.937,5.2
317,Phoenix,Female,Food and beverages,3.162,66.402,2/9/2019,Gift cards,63.24,4.761904762,3.162,7.3
318,Phoenix,Male,Electronic accessories,18.6975,392.6475,1/10/2019,Gift cards,373.95,4.761904762,18.6975,4.9
319,Phoenix,Female,Health and beauty,10.3845,218.0745,3/11/2019,Credit card,207.69,4.761904762,10.3845,8.1
320,Phoenix,Male,Health and beauty,8.814,185.094,2/18/2019,Mobile payments,176.28,4.761904762,8.814,8.4
321,Phoenix,Female,Food and beverages,10.3185,216.6885,2/26/2019,Gift cards,206.37,4.761904762,10.3185,5.5
322,Phoenix,Female,Health and beauty,1.971,41.391,1/18/2019,Gift cards,39.42,4.761904762,1.971,8.4
323,Seattle,Male,Health and beauty,4.578,96.138,2/15/2019,Mobile payments,91.56,4.761904762,4.578,9.8
324,Seattle,Female,Fashion accessories,15.4425,324.2925,3/8/2019,Gift cards,308.85,4.761904762,15.4425,6.7
325,Seattle,Male,Home and lifestyle,6.456,135.576,1/17/2019,Credit card,129.12,4.761904762,6.456,9.4
326,St. Louis,Male,Sports and travel,19.548,410.508,3/12/2019,Mobile payments,390.96,4.761904762,19.548,6.4
327,Seattle,Male,Food and beverages,24.945,523.845,3/9/2019,Gift cards,498.9,4.761904762,24.945,5.4
328,Phoenix,Male,Food and beverages,18.852,395.892,3/12/2019,Gift cards,377.04,4.761904762,18.852,8.6
329,St. Louis,Male,Health and beauty,10.226,214.746,1/25/2019,Credit card,204.52,4.761904762,10.226,4
330,Seattle,Male,Electronic accessories,7.272,152.712,3/25/2019,Gift cards,145.44,4.761904762,7.272,7.6
331,St. Louis,Male,Home and lifestyle,9.909,208.089,2/7/2019,Gift cards,198.18,4.761904762,9.909,6.8
332,Seattle,Male,Food and beverages,4.935,103.635,2/17/2019,Credit card,98.7,4.761904762,4.935,9.1
333,Seattle,Male,Fashion accessories,19.255,404.355,2/3/2019,Gift cards,385.1,4.761904762,19.255,5.5
334,Seattle,Male,Food and beverages,2.348,49.308,3/14/2019,Credit card,46.96,4.761904762,2.348,7.9
335,Phoenix,Male,Sports and travel,3.675,77.175,3/24/2019,Mobile payments,73.5,4.761904762,3.675,8.5
336,Seattle,Female,Electronic accessories,7.1125,149.3625,3/21/2019,Credit card,142.25,4.761904762,7.1125,9.1
337,Seattle,Male,Fashion accessories,34.38,721.98,3/19/2019,Mobile payments,687.6,4.761904762,34.38,7.5
338,St. Louis,Female,Sports and travel,17.385,365.085,2/24/2019,Gift cards,347.7,4.761904762,17.385,5.2
339,Phoenix,Female,Electronic accessories,7.1475,150.0975,3/28/2019,Credit card,142.95,4.761904762,7.1475,9.5
340,St. Louis,Female,Food and beverages,19.269,404.649,2/5/2019,Credit card,385.38,4.761904762,19.269,8.9
341,St. Louis,Male,Electronic accessories,7.2135,151.4835,2/10/2019,Credit card,144.27,4.761904762,7.2135,7.8
342,St. Louis,Female,Health and beauty,19.5895,411.3795,3/5/2019,Mobile payments,391.79,4.761904762,19.5895,8.9
343,St. Louis,Female,Health and beauty,26.915,565.215,2/15/2019,Gift cards,538.3,4.761904762,26.915,7.7
344,Phoenix,Female,Food and beverages,24.2575,509.4075,1/30/2019,Mobile payments,485.15,4.761904762,24.2575,9.3
345,Seattle,Male,Sports and travel,6.6975,140.6475,2/14/2019,Gift cards,133.95,4.761904762,6.6975,6.2
346,Seattle,Female,Fashion accessories,35.0685,736.4385,2/27/2019,Mobile payments,701.37,4.761904762,35.0685,7.6
347,Seattle,Male,Electronic accessories,3.5975,75.5475,2/4/2019,Gift cards,71.95,4.761904762,3.5975,7.3
348,Phoenix,Female,Home and lifestyle,35.7,749.7,1/20/2019,Gift cards,714,4.761904762,35.7,4.7
349,Seattle,Male,Electronic accessories,9.107,191.247,3/28/2019,Gift cards,182.14,4.761904762,9.107,5.1
350,St. Louis,Female,Health and beauty,6.75,141.75,2/27/2019,Credit card,135,4.761904762,6.75,4.8
351,Phoenix,Female,Fashion accessories,49.65,1042.65,2/15/2019,Credit card,993,4.761904762,49.65,6.6
352,Seattle,Male,Electronic accessories,18.0915,379.9215,1/26/2019,Gift cards,361.83,4.761904762,18.0915,5.5
353,St. Louis,Female,Fashion accessories,19.1555,402.2655,3/14/2019,Credit card,383.11,4.761904762,19.1555,8.5
354,St. Louis,Male,Home and lifestyle,12.15,255.15,3/2/2019,Gift cards,243,4.761904762,12.15,4.8
355,Phoenix,Female,Electronic accessories,1.512,31.752,3/4/2019,Gift cards,30.24,4.761904762,1.512,8.4
356,St. Louis,Female,Food and beverages,17.828,374.388,1/7/2019,Credit card,356.56,4.761904762,17.828,7.8
357,Phoenix,Female,Fashion accessories,18.775,394.275,3/8/2019,Credit card,375.5,4.761904762,18.775,9.3
358,Phoenix,Female,Sports and travel,47.72,1002.12,1/9/2019,Gift cards,954.4,4.761904762,47.72,5.2
359,St. Louis,Male,Electronic accessories,4.125,86.625,3/1/2019,Mobile payments,82.5,4.761904762,4.125,6.5
360,St. Louis,Male,Sports and travel,3.7485,78.7185,3/16/2019,Gift cards,74.97,4.761904762,3.7485,5.6
361,Seattle,Male,Food and beverages,32.384,680.064,2/17/2019,Credit card,647.68,4.761904762,32.384,7.4
362,Phoenix,Female,Food and beverages,37.788,793.548,2/27/2019,Gift cards,755.76,4.761904762,37.788,9.1
363,Phoenix,Male,Food and beverages,9.979,209.559,3/7/2019,Mobile payments,199.58,4.761904762,9.979,8
364,Seattle,Male,Home and lifestyle,21.966,461.286,1/21/2019,Gift cards,439.32,4.761904762,21.966,7.2
365,Phoenix,Female,Food and beverages,8.248,173.208,2/19/2019,Gift cards,164.96,4.761904762,8.248,7.1
366,Phoenix,Female,Fashion accessories,16.336,343.056,1/6/2019,Gift cards,326.72,4.761904762,16.336,9.1
367,Phoenix,Female,Electronic accessories,23.094,484.974,3/14/2019,Gift cards,461.88,4.761904762,23.094,5.6
368,Seattle,Male,Home and lifestyle,13.188,276.948,3/24/2019,Gift cards,263.76,4.761904762,13.188,6
369,Phoenix,Female,Sports and travel,7.18,150.78,1/27/2019,Gift cards,143.6,4.761904762,7.18,5.4
370,Seattle,Male,Electronic accessories,9.675,203.175,3/6/2019,Credit card,193.5,4.761904762,9.675,7.8
371,St. Louis,Female,Electronic accessories,9.191,193.011,2/2/2019,Gift cards,183.82,4.761904762,9.191,9.9
372,St. Louis,Female,Fashion accessories,6.096,128.016,1/25/2019,Credit card,121.92,4.761904762,6.096,4.9
373,Phoenix,Female,Home and lifestyle,21.033,441.693,3/14/2019,Mobile payments,420.66,4.761904762,21.033,5.2
374,Phoenix,Male,Fashion accessories,12.624,265.104,1/29/2019,Gift cards,252.48,4.761904762,12.624,8.9
375,Seattle,Female,Home and lifestyle,16.7725,352.2225,1/3/2019,Credit card,335.45,4.761904762,16.7725,9.1
376,Seattle,Female,Fashion accessories,24.175,507.675,1/14/2019,Mobile payments,483.5,4.761904762,24.175,7
377,St. Louis,Female,Home and lifestyle,15.921,334.341,1/5/2019,Credit card,318.42,4.761904762,15.921,9.6
378,Phoenix,Male,Sports and travel,33.4215,701.8515,2/22/2019,Mobile payments,668.43,4.761904762,33.4215,8.7
379,Phoenix,Male,Fashion accessories,19.396,407.316,2/6/2019,Mobile payments,387.92,4.761904762,19.396,9.4
380,St. Louis,Female,Electronic accessories,4.73,99.33,1/30/2019,Credit card,94.6,4.761904762,4.73,4
381,Seattle,Male,Sports and travel,16.466,345.786,1/11/2019,Credit card,329.32,4.761904762,16.466,7.5
382,Phoenix,Female,Electronic accessories,2.661,55.881,3/19/2019,Gift cards,53.22,4.761904762,2.661,4.2
383,St. Louis,Female,Food and beverages,24.9225,523.3725,1/14/2019,Gift cards,498.45,4.761904762,24.9225,9.9
384,Phoenix,Female,Food and beverages,14.978,314.538,3/1/2019,Mobile payments,299.56,4.761904762,14.978,4.2
385,Seattle,Female,Food and beverages,10.235,214.935,1/6/2019,Mobile payments,204.7,4.761904762,10.235,9.9
386,St. Louis,Male,Sports and travel,3.791,79.611,1/31/2019,Gift cards,75.82,4.761904762,3.791,5.8
387,Phoenix,Male,Food and beverages,14.031,294.651,3/11/2019,Gift cards,280.62,4.761904762,14.031,6
388,Seattle,Female,Health and beauty,16.16,339.36,2/20/2019,Credit card,323.2,4.761904762,16.16,10
389,Phoenix,Female,Fashion accessories,24.3315,510.9615,1/27/2019,Mobile payments,486.63,4.761904762,24.3315,9.5
390,St. Louis,Male,Food and beverages,6.377,133.917,3/10/2019,Credit card,127.54,4.761904762,6.377,6.6
391,Phoenix,Female,Fashion accessories,12.072,253.512,2/15/2019,Gift cards,241.44,4.761904762,12.072,8.1
392,St. Louis,Female,Fashion accessories,18.975,398.475,1/26/2019,Gift cards,379.5,4.761904762,18.975,9.7
393,Seattle,Male,Electronic accessories,3.841,80.661,2/13/2019,Mobile payments,76.82,4.761904762,3.841,7.2
394,Seattle,Female,Sports and travel,26.13,548.73,3/9/2019,Credit card,522.6,4.761904762,26.13,6.2
395,Seattle,Female,Health and beauty,3.987,83.727,3/6/2019,Mobile payments,79.74,4.761904762,3.987,7.3
396,Seattle,Female,Health and beauty,19.375,406.875,1/24/2019,Mobile payments,387.5,4.761904762,19.375,4.3
397,Seattle,Female,Food and beverages,13.5675,284.9175,3/13/2019,Mobile payments,271.35,4.761904762,13.5675,4.6
398,St. Louis,Male,Home and lifestyle,6.1155,128.4255,3/15/2019,Gift cards,122.31,4.761904762,6.1155,5.8
399,St. Louis,Female,Health and beauty,12.318,258.678,3/5/2019,Credit card,246.36,4.761904762,12.318,8.3
400,St. Louis,Male,Electronic accessories,8.658,181.818,3/4/2019,Gift cards,173.16,4.761904762,8.658,8
401,Phoenix,Female,Food and beverages,11.829,248.409,3/25/2019,Credit card,236.58,4.761904762,11.829,9.4
402,Phoenix,Male,Home and lifestyle,9.244,194.124,3/12/2019,Credit card,184.88,4.761904762,9.244,6.2
403,Phoenix,Male,Home and lifestyle,0.699,14.679,2/4/2019,Mobile payments,13.98,4.761904762,0.699,9.8
404,St. Louis,Female,Fashion accessories,9.9375,208.6875,2/22/2019,Mobile payments,198.75,4.761904762,9.9375,9.6
405,Phoenix,Female,Fashion accessories,34.2265,718.7565,2/16/2019,Mobile payments,684.53,4.761904762,34.2265,4.9
406,Seattle,Male,Sports and travel,13.452,282.492,1/19/2019,Credit card,269.04,4.761904762,13.452,8
407,Seattle,Male,Food and beverages,3.4475,72.3975,1/11/2019,Credit card,68.95,4.761904762,3.4475,7.8
408,St. Louis,Female,Fashion accessories,13.742,288.582,1/4/2019,Gift cards,274.84,4.761904762,13.742,4.1
409,Seattle,Female,Home and lifestyle,11.306,237.426,3/4/2019,Mobile payments,226.12,4.761904762,11.306,5.5
410,Phoenix,Female,Fashion accessories,5.955,125.055,1/28/2019,Mobile payments,119.1,4.761904762,5.955,5.4
411,St. Louis,Female,Health and beauty,17.105,359.205,1/2/2019,Gift cards,342.1,4.761904762,17.105,5.1
412,St. Louis,Male,Sports and travel,2.187,45.927,1/25/2019,Mobile payments,43.74,4.761904762,2.187,6.9
413,Seattle,Male,Health and beauty,5.2425,110.0925,1/4/2019,Gift cards,104.85,4.761904762,5.2425,7.8
414,Seattle,Male,Sports and travel,3.876,81.396,3/10/2019,Mobile payments,77.52,4.761904762,3.876,6.6
415,Seattle,Male,Home and lifestyle,20.372,427.812,3/22/2019,Mobile payments,407.44,4.761904762,20.372,9.2
416,St. Louis,Male,Health and beauty,4.8055,100.9155,1/25/2019,Mobile payments,96.11,4.761904762,4.8055,7.8
417,Phoenix,Female,Home and lifestyle,9.076,190.596,1/8/2019,Credit card,181.52,4.761904762,9.076,8.7
418,Phoenix,Female,Health and beauty,4.0755,85.5855,1/22/2019,Mobile payments,81.51,4.761904762,4.0755,9.2
419,St. Louis,Female,Health and beauty,5.722,120.162,1/12/2019,Mobile payments,114.44,4.761904762,5.722,8.3
420,Seattle,Female,Electronic accessories,8.827,185.367,2/4/2019,Gift cards,176.54,4.761904762,8.827,8.2
421,Phoenix,Female,Food and beverages,5.79,121.59,3/28/2019,Mobile payments,115.8,4.761904762,5.79,7.5
422,Phoenix,Female,Electronic accessories,12.6075,264.7575,1/23/2019,Gift cards,252.15,4.761904762,12.6075,9.8
423,Phoenix,Female,Fashion accessories,48.605,1020.705,2/8/2019,Credit card,972.1,4.761904762,48.605,8.7
424,St. Louis,Male,Fashion accessories,10.168,213.528,3/19/2019,Credit card,203.36,4.761904762,10.168,6.7
425,Phoenix,Male,Fashion accessories,0.814,17.094,3/9/2019,Gift cards,16.28,4.761904762,0.814,5
426,St. Louis,Male,Fashion accessories,18.2745,383.7645,1/2/2019,Gift cards,365.49,4.761904762,18.2745,7
427,Seattle,Male,Health and beauty,18.6095,390.7995,1/21/2019,Gift cards,372.19,4.761904762,18.6095,8.9
428,St. Louis,Female,Food and beverages,3.1305,65.7405,3/20/2019,Credit card,62.61,4.761904762,3.1305,8
429,St. Louis,Male,Sports and travel,16.8175,353.1675,2/27/2019,Gift cards,336.35,4.761904762,16.8175,6.9
430,Seattle,Female,Home and lifestyle,45.325,951.825,3/8/2019,Mobile payments,906.5,4.761904762,45.325,7.3
431,St. Louis,Male,Fashion accessories,6.908,145.068,1/31/2019,Credit card,138.16,4.761904762,6.908,6.9
432,Phoenix,Male,Food and beverages,4.327,90.867,3/8/2019,Mobile payments,86.54,4.761904762,4.327,5.7
433,Seattle,Female,Electronic accessories,7.038,147.798,1/13/2019,Mobile payments,140.76,4.761904762,7.038,6.4
434,St. Louis,Male,Fashion accessories,33.439,702.219,3/9/2019,Credit card,668.78,4.761904762,33.439,9.6
435,St. Louis,Female,Fashion accessories,2.372,49.812,2/22/2019,Credit card,47.44,4.761904762,2.372,6.8
436,Phoenix,Male,Sports and travel,44.658,937.818,3/19/2019,Mobile payments,893.16,4.761904762,44.658,9
437,Phoenix,Male,Sports and travel,16.586,348.306,1/20/2019,Mobile payments,331.72,4.761904762,16.586,9.6
438,Seattle,Male,Home and lifestyle,10.197,214.137,3/8/2019,Credit card,203.94,4.761904762,10.197,7.7
439,Phoenix,Male,Food and beverages,3.408,71.568,3/8/2019,Mobile payments,68.16,4.761904762,3.408,7
440,Phoenix,Female,Electronic accessories,16.344,343.224,2/7/2019,Credit card,326.88,4.761904762,16.344,6.5
441,Phoenix,Male,Food and beverages,4.36,91.56,1/15/2019,Gift cards,87.2,4.761904762,4.36,8.1
442,St. Louis,Female,Sports and travel,35.372,742.812,3/22/2019,Credit card,707.44,4.761904762,35.372,4.3
443,Seattle,Female,Home and lifestyle,40.1445,843.0345,1/15/2019,Credit card,802.89,4.761904762,40.1445,6.5
444,Phoenix,Male,Fashion accessories,0.639,13.419,1/8/2019,Mobile payments,12.78,4.761904762,0.639,9.5
445,Seattle,Female,Sports and travel,6.685,140.385,1/15/2019,Gift cards,133.7,4.761904762,6.685,9.7
446,St. Louis,Female,Health and beauty,0.9575,20.1075,1/28/2019,Credit card,19.15,4.761904762,0.9575,9.5
447,Phoenix,Male,Food and beverages,13.83,290.43,2/14/2019,Credit card,276.6,4.761904762,13.83,8.9
448,Phoenix,Male,Fashion accessories,6.861,144.081,3/10/2019,Credit card,137.22,4.761904762,6.861,6.5
449,St. Louis,Female,Health and beauty,1.3535,28.4235,1/12/2019,Credit card,27.07,4.761904762,1.3535,5.3
450,St. Louis,Female,Sports and travel,1.956,41.076,3/26/2019,Credit card,39.12,4.761904762,1.956,9.6
451,St. Louis,Female,Electronic accessories,22.413,470.673,1/1/2019,Gift cards,448.26,4.761904762,22.413,6.7
452,St. Louis,Male,Electronic accessories,6.603,138.663,1/2/2019,Gift cards,132.06,4.761904762,6.603,7.6
453,Seattle,Female,Food and beverages,15.9025,333.9525,3/16/2019,Mobile payments,318.05,4.761904762,15.9025,4.8
454,Seattle,Male,Health and beauty,1.25,26.25,3/3/2019,Mobile payments,25,4.761904762,1.25,5.5
455,Seattle,Male,Electronic accessories,4.154,87.234,1/31/2019,Gift cards,83.08,4.761904762,4.154,4.7
456,St. Louis,Female,Fashion accessories,7.39,155.19,2/13/2019,Gift cards,147.8,4.761904762,7.39,6.9
457,St. Louis,Female,Food and beverages,34.83,731.43,2/15/2019,Credit card,696.6,4.761904762,34.83,4.5
458,St. Louis,Male,Electronic accessories,39.695,833.595,2/7/2019,Gift cards,793.9,4.761904762,39.695,6.2
459,Phoenix,Female,Electronic accessories,23.285,488.985,1/27/2019,Gift cards,465.7,4.761904762,23.285,7.6
460,Phoenix,Male,Food and beverages,1.7945,37.6845,2/23/2019,Credit card,35.89,4.761904762,1.7945,7.9
461,Phoenix,Male,Food and beverages,10.13,212.73,2/3/2019,Gift cards,202.6,4.761904762,10.13,4.5
462,St. Louis,Female,Food and beverages,36.525,767.025,3/3/2019,Credit card,730.5,4.761904762,36.525,8.7
463,Phoenix,Female,Sports and travel,14.79,310.59,2/3/2019,Gift cards,295.8,4.761904762,14.79,6.1
464,Phoenix,Female,Food and beverages,1.131,23.751,3/17/2019,Gift cards,22.62,4.761904762,1.131,6.4
465,Seattle,Male,Food and beverages,12.835,269.535,3/28/2019,Credit card,256.7,4.761904762,12.835,9.1
466,Phoenix,Female,Sports and travel,27.275,572.775,3/2/2019,Credit card,545.5,4.761904762,27.275,7.1
467,Phoenix,Female,Health and beauty,13.0025,273.0525,2/8/2019,Credit card,260.05,4.761904762,13.0025,7.7
468,St. Louis,Male,Sports and travel,11.106,233.226,3/22/2019,Gift cards,222.12,4.761904762,11.106,4.5
469,Phoenix,Male,Food and beverages,1.079,22.659,2/9/2019,Mobile payments,21.58,4.761904762,1.079,7.2
470,Phoenix,Female,Electronic accessories,4.942,103.782,2/15/2019,Gift cards,98.84,4.761904762,4.942,8.4
471,Phoenix,Female,Home and lifestyle,25.131,527.751,1/23/2019,Mobile payments,502.62,4.761904762,25.131,5.4
472,Seattle,Female,Sports and travel,8.01,168.21,1/25/2019,Gift cards,160.2,4.761904762,8.01,9.7
473,Seattle,Male,Fashion accessories,21.565,452.865,2/2/2019,Credit card,431.3,4.761904762,21.565,5.5
474,St. Louis,Male,Health and beauty,29.028,609.588,3/30/2019,Gift cards,580.56,4.761904762,29.028,4.6
475,Seattle,Female,Electronic accessories,16.11,338.31,3/30/2019,Gift cards,322.2,4.761904762,16.11,6.6
476,Seattle,Male,Health and beauty,9.777,205.317,2/25/2019,Credit card,195.54,4.761904762,9.777,6.3
477,Seattle,Female,Sports and travel,8.315,174.615,3/18/2019,Credit card,166.3,4.761904762,8.315,4.2
478,Phoenix,Male,Electronic accessories,16.814,353.094,3/7/2019,Mobile payments,336.28,4.761904762,16.814,4.4
479,St. Louis,Male,Sports and travel,17.185,360.885,3/16/2019,Mobile payments,343.7,4.761904762,17.185,6.7
480,Seattle,Male,Electronic accessories,1.93,40.53,1/29/2019,Mobile payments,38.6,4.761904762,1.93,6.7
